scope,repo,published_on_dockerhub,current_pull_count,first_public_tag_pushed_utc,days_since_first_public_tag_as_of_snapshot_day,avg_pulls_per_day_since_first_public_tag,last_updated_utc,dockerhub_repo_url,dockerhub_repo_api_url,dockerhub_tags_api_url,notes
"current_user_facing","rsyslog/rsyslog","yes","54310","2025-06-05T17:04:43.905465Z","289","187.9","2025-09-12T13:36:22.892342Z","https://hub.docker.com/r/rsyslog/rsyslog","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog/tags?page_size=100","Standard image"
"current_user_facing","rsyslog/rsyslog-minimal","yes","6673","2025-06-05T17:04:39.23163Z","289","23.1","2025-09-12T13:36:35.125771Z","https://hub.docker.com/r/rsyslog/rsyslog-minimal","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-minimal/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-minimal/tags?page_size=100","Minimal base image"
"current_user_facing","rsyslog/rsyslog-collector","yes","9315","2025-06-05T17:04:49.493706Z","289","32.2","2025-12-03T12:26:14.186528Z","https://hub.docker.com/r/rsyslog/rsyslog-collector","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-collector/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-collector/tags?page_size=100","Collector image"
"current_user_facing","rsyslog/rsyslog-dockerlogs","yes","282","2025-06-05T17:04:55.137864Z","289","1.0","2025-09-12T13:36:55.214863Z","https://hub.docker.com/r/rsyslog/rsyslog-dockerlogs","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-dockerlogs/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-dockerlogs/tags?page_size=100","Docker log collection image"
"current_user_facing","rsyslog/rsyslog-etl","no","","","","","","https://hub.docker.com/r/rsyslog/rsyslog-etl","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-etl/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-etl/tags?page_size=100","Local subtree exists but Docker Hub repository currently returns 404"
"legacy_alt_repo","rsyslog/official-docker","yes","383","2025-06-04T07:56:24.857682Z","290","1.3","2025-06-04T07:56:25.938914Z","https://hub.docker.com/r/rsyslog/official-docker","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-docker/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-docker/tags?page_size=100","Shown on org page but not one of the current subtree image names"
"legacy_alt_repo","rsyslog/official-collector","yes","93","2025-05-28T15:45:36.470936Z","297","0.3","2025-05-28T15:45:37.529605Z","https://hub.docker.com/r/rsyslog/official-collector","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-collector/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-collector/tags?page_size=100","Shown on org page but not one of the current subtree image names"
"legacy_alt_repo","rsyslog/official-minimal","yes","79","2025-05-28T07:10:19.936135Z","297","0.3","2025-05-28T15:05:50.90666Z","https://hub.docker.com/r/rsyslog/official-minimal","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-minimal/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-minimal/tags?page_size=100","Shown on org page but not one of the current subtree image names"
