snapshot_at_utc,snapshot_day_utc,scope,repo,published_on_dockerhub,pull_count,last_updated_utc,first_public_tag_pushed_utc,dockerhub_repo_url,dockerhub_repo_api_url,dockerhub_tags_api_url,notes
"2026-03-20T16:03:07Z","2026-03-20","current_user_facing","rsyslog/rsyslog","yes","54310","2025-09-12T13:36:22.892342Z","2025-06-05T17:04:43.905465Z","https://hub.docker.com/r/rsyslog/rsyslog","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog/tags?page_size=100","Standard image"
"2026-03-20T16:03:07Z","2026-03-20","current_user_facing","rsyslog/rsyslog-minimal","yes","6673","2025-09-12T13:36:35.125771Z","2025-06-05T17:04:39.23163Z","https://hub.docker.com/r/rsyslog/rsyslog-minimal","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-minimal/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-minimal/tags?page_size=100","Minimal base image"
"2026-03-20T16:03:07Z","2026-03-20","current_user_facing","rsyslog/rsyslog-collector","yes","9315","2025-12-03T12:26:14.186528Z","2025-06-05T17:04:49.493706Z","https://hub.docker.com/r/rsyslog/rsyslog-collector","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-collector/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-collector/tags?page_size=100","Collector image"
"2026-03-20T16:03:07Z","2026-03-20","current_user_facing","rsyslog/rsyslog-dockerlogs","yes","282","2025-09-12T13:36:55.214863Z","2025-06-05T17:04:55.137864Z","https://hub.docker.com/r/rsyslog/rsyslog-dockerlogs","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-dockerlogs/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-dockerlogs/tags?page_size=100","Docker log collection image"
"2026-03-20T16:03:07Z","2026-03-20","current_user_facing","rsyslog/rsyslog-etl","no","","","","https://hub.docker.com/r/rsyslog/rsyslog-etl","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-etl/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/rsyslog-etl/tags?page_size=100","Local subtree exists but Docker Hub repository currently returns 404"
"2026-03-20T16:03:07Z","2026-03-20","legacy_alt_repo","rsyslog/official-docker","yes","383","2025-06-04T07:56:25.938914Z","2025-06-04T07:56:24.857682Z","https://hub.docker.com/r/rsyslog/official-docker","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-docker/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-docker/tags?page_size=100","Shown on org page but not one of the current subtree image names"
"2026-03-20T16:03:07Z","2026-03-20","legacy_alt_repo","rsyslog/official-collector","yes","93","2025-05-28T15:45:37.529605Z","2025-05-28T15:45:36.470936Z","https://hub.docker.com/r/rsyslog/official-collector","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-collector/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-collector/tags?page_size=100","Shown on org page but not one of the current subtree image names"
"2026-03-20T16:03:07Z","2026-03-20","legacy_alt_repo","rsyslog/official-minimal","yes","79","2025-05-28T15:05:50.90666Z","2025-05-28T07:10:19.936135Z","https://hub.docker.com/r/rsyslog/official-minimal","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-minimal/","https://hub.docker.com/v2/namespaces/rsyslog/repositories/official-minimal/tags?page_size=100","Shown on org page but not one of the current subtree image names"
